Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-10-01 09:30:00-04:00,179.39999389648438,179.49000549316406,176.89999389648438,176.89999389648438,106979,0,0
2021-10-01 09:31:00-04:00,177.139404296875,178.24000549316406,177.1199951171875,177.83999633789062,13658,0,0
2021-10-01 09:32:00-04:00,177.66000366210938,177.83999633789062,176.75999450683594,176.83999633789062,15075,0,0
2021-10-01 09:33:00-04:00,176.58999633789062,177.49000549316406,176.19000244140625,176.7949981689453,10492,0,0
2021-10-01 09:34:00-04:00,176.27999877929688,176.60000610351562,176.1999969482422,176.4600067138672,7474,0,0
2021-10-01 09:35:00-04:00,176.60580444335938,176.7100067138672,176.1999969482422,176.625,6045,0,0
2021-10-01 09:36:00-04:00,176.97999572753906,177.57000732421875,176.52000427246094,176.52000427246094,6176,0,0
2021-10-01 09:37:00-04:00,176.5,176.5,174.73779296875,174.73779296875,20057,0,0
2021-10-01 09:38:00-04:00,174.72000122070312,175.75990295410156,174.72000122070312,175.0,5298,0,0
2021-10-01 09:39:00-04:00,175.25059509277344,175.42999267578125,173.52999877929688,173.82000732421875,7021,0,0
2021-10-01 09:40:00-04:00,173.8000030517578,173.89999389648438,172.63999938964844,173.60240173339844,11359,0,0
2021-10-01 09:41:00-04:00,173.05999755859375,173.94020080566406,173.0,173.94020080566406,5233,0,0
2021-10-01 09:42:00-04:00,173.5500030517578,174.41099548339844,173.52000427246094,173.97500610351562,6091,0,0
2021-10-01 09:43:00-04:00,173.82000732421875,173.88499450683594,173.52000427246094,173.60499572753906,8351,0,0
2021-10-01 09:44:00-04:00,173.14999389648438,173.55999755859375,172.86500549316406,173.4149932861328,5532,0,0
2021-10-01 09:45:00-04:00,173.22000122070312,173.22000122070312,172.35000610351562,172.591796875,17723,0,0
2021-10-01 09:46:00-04:00,172.56500244140625,172.9600067138672,172.25,172.25,5967,0,0
2021-10-01 09:47:00-04:00,172.4300994873047,173.6699981689453,172.4300994873047,173.4199981689453,6333,0,0
2021-10-01 09:48:00-04:00,173.2050018310547,173.8699951171875,173.2050018310547,173.77000427246094,23369,0,0
2021-10-01 09:49:00-04:00,173.47999572753906,173.75999450683594,173.2449951171875,173.75999450683594,3741,0,0
2021-10-01 09:50:00-04:00,173.65020751953125,174.22999572753906,173.65020751953125,174.22999572753906,6266,0,0
2021-10-01 09:51:00-04:00,174.46690368652344,175.19500732421875,174.46690368652344,174.9134063720703,5761,0,0
2021-10-01 09:52:00-04:00,174.58999633789062,174.58999633789062,173.8946990966797,173.8946990966797,2493,0,0
2021-10-01 09:53:00-04:00,174.27999877929688,174.4199981689453,173.94000244140625,174.4199981689453,3422,0,0
2021-10-01 09:54:00-04:00,174.23269653320312,174.23269653320312,173.0,173.00999450683594,5171,0,0
2021-10-01 09:55:00-04:00,173.0,173.39999389648438,172.6999969482422,173.39999389648438,4701,0,0
2021-10-01 09:56:00-04:00,173.47999572753906,173.75999450683594,173.33999633789062,173.33999633789062,2018,0,0
2021-10-01 09:57:00-04:00,173.22999572753906,173.25999450683594,172.5,172.5,4694,0,0
2021-10-01 09:58:00-04:00,172.5,172.88009643554688,172.5,172.60000610351562,3760,0,0
2021-10-01 09:59:00-04:00,172.80999755859375,173.72999572753906,172.80999755859375,173.39500427246094,4283,0,0
2021-10-01 10:00:00-04:00,173.99000549316406,174.5,173.5399932861328,174.27999877929688,18032,0,0
2021-10-01 10:01:00-04:00,174.1300048828125,174.97000122070312,174.0,174.4799041748047,5482,0,0
2021-10-01 10:02:00-04:00,174.4799041748047,176.5800018310547,174.4799041748047,176.39480590820312,13439,0,0
2021-10-01 10:03:00-04:00,176.27000427246094,176.77999877929688,175.65499877929688,176.64010620117188,18145,0,0
2021-10-01 10:04:00-04:00,176.3800048828125,176.52000427246094,175.00010681152344,175.64610290527344,12484,0,0
2021-10-01 10:05:00-04:00,175.2899932861328,175.2899932861328,174.57009887695312,175.1278076171875,9677,0,0
2021-10-01 10:06:00-04:00,175.16000366210938,175.38499450683594,174.0800018310547,174.7429962158203,4432,0,0
2021-10-01 10:07:00-04:00,174.57000732421875,174.63999938964844,174.01010131835938,174.5,4326,0,0
2021-10-01 10:08:00-04:00,174.80499267578125,175.05999755859375,174.41969299316406,174.6300048828125,7472,0,0
2021-10-01 10:09:00-04:00,174.65199279785156,174.80999755859375,174.1490936279297,174.30540466308594,4704,0,0
2021-10-01 10:10:00-04:00,174.4199981689453,174.63999938964844,173.9199981689453,174.40750122070312,5530,0,0
2021-10-01 10:11:00-04:00,174.39999389648438,174.75,174.1699981689453,174.47329711914062,3970,0,0
2021-10-01 10:12:00-04:00,174.51840209960938,174.51840209960938,174.02999877929688,174.32000732421875,3339,0,0
2021-10-01 10:13:00-04:00,174.22369384765625,174.464599609375,174.03109741210938,174.4499969482422,2454,0,0
2021-10-01 10:14:00-04:00,174.2808074951172,174.8300018310547,174.27999877929688,174.8282928466797,2014,0,0
2021-10-01 10:15:00-04:00,174.35009765625,174.35009765625,173.0,173.0,8455,0,0
2021-10-01 10:16:00-04:00,173.22500610351562,173.39999389648438,173.02000427246094,173.1649932861328,4405,0,0
2021-10-01 10:17:00-04:00,173.3300018310547,173.3300018310547,172.74000549316406,172.74000549316406,3676,0,0
2021-10-01 10:18:00-04:00,172.9600067138672,173.0050048828125,172.6999969482422,172.7899932861328,4647,0,0
2021-10-01 10:19:00-04:00,172.7949981689453,173.6199951171875,172.66000366210938,173.6199951171875,6555,0,0
2021-10-01 10:20:00-04:00,173.75999450683594,174.33990478515625,173.75999450683594,174.33990478515625,6010,0,0
2021-10-01 10:21:00-04:00,174.49000549316406,174.72000122070312,174.22999572753906,174.24000549316406,4514,0,0
2021-10-01 10:22:00-04:00,174.11500549316406,174.11500549316406,173.66000366210938,173.6699981689453,4595,0,0
